"","x"
"beta 11",-2.09
"beta 18",-1.3
"beta 19",-1.3
"beta 7",-1.3
"beta 1",-0.79
"beta 13",-0.79
"beta 20",-0.39
"beta 4",-0.39
"beta 15",-0.39
"beta 10",-0.04
"beta 16",-0.04
"beta 14",0.28
"beta 17",0.58
"beta 6",0.58
"beta 5",0.58
"beta 8",0.58
"beta 12",0.87
"beta 9",0.87
"beta 3",2.08
"beta 2",2.41
