Code,Type,At,Email-ID,Email-Backoffice-ID,Event-ID,From Folder,To Folder,Scrolled To,URL,Link Text
49,email-moved,2024-01-12T13:15:34.707Z,f9f26bad-1a01-4ccb-8585-76ece6fa627f,Dein Video wurde erneut gepostet / Instagram,ffa85cd0-53a8-4461-b419-6f16a2193bae,,Phishing/Spam,,,
49,email-moved,2024-01-12T13:15:35.375Z,fa7edad1-a03e-4d6e-b93f-a90184857f4a,Dein Kontoeinblick für November 2022 / Instagram Business,537df7b0-29ff-4474-abef-2a7acb25b222,,Phishing/Spam,,,
49,email-moved,2024-01-12T13:15:35.933Z,66626179-03d8-4a32-be4e-2cdd29e27367,Der einfachste Weg\, um Strom zu sparen / E-Energy,9c4c32d2-0b9b-496f-897b-a511935af8ac,,Phishing/Spam,,,
49,email-moved,2024-01-12T13:15:36.847Z,8233493d-6c2a-486f-a8c4-c127eeaa0a21,Haltungskorrektur der Wirbelsaule / BSP Corrector,d6495038-ac35-4ce7-abb0-27d72d243778,,,,,
49,email-moved,2024-01-12T13:15:37.426Z,88219594-b400-49d2-a46d-8deeb7a65338,Hondrox — ist das erste Mittel mit Teufelskrallenextrakte\, Arnika für die Wiederherstellung der Knorpel in den Gelenken / Hondrox,503a56be-13d5-4757-9f92-476bed890832,,,,,
49,email-moved,2024-01-12T13:15:54.381Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,a8ffd63c-7ce3-4d7a-a0c7-8df608d1d615,,No Phishing,,,
49,email-view,2024-01-12T13:15:57.492Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,9e7a8b78-6bfb-40fc-a02c-80e05988fbb2,,,,,
49,email-view,2024-01-12T13:15:59.697Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,a77f8c70-3a77-4f21-b675-d43984c09abd,,,,,
49,email-view,2024-01-12T13:16:00.129Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,17717489-3099-4c62-8ea3-ce65ee11be77,,,,,
49,email-moved,2024-01-12T13:16:06.410Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,9c1dec93-f127-405c-b344-03c114490913,,Phishing/Spam,,,
49,email-moved,2024-01-12T13:16:15.095Z,381d15d9-d865-4062-b3a6-86bcb869db74,Füge Personen hinzu\, um beim Geschäftseinkauf zusammenzuarbeiten / Amazon Business,6085716f-e01f-41d3-a6db-361ee8fcaeb3,,,,,
00,created,2024-01-11T15:10:10.210Z,,,,,,,,
00,code-used,2024-01-12T13:17:05.410Z,,,,,,,,
00,started,2024-01-12T13:17:07.145Z,,,,,,,,
00,email-moved,2024-01-12T13:17:09.429Z,66626179-03d8-4a32-be4e-2cdd29e27367,Der einfachste Weg\, um Strom zu sparen / E-Energy,f611e7ec-c3de-47a1-922e-3e63d65e0b6f,,No Phishing,,,
00,email-moved,2024-01-12T13:17:16.951Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,4f9156f8-e09c-404f-97e6-794e36ce750c,,No Phishing,,,
84,created,2024-01-11T15:10:10.203Z,,,,,,,,
84,code-used,2024-01-12T13:38:55.706Z,,,,,,,,
84,started,2024-01-12T13:40:06.727Z,,,,,,,,
84,email-view,2024-01-12T13:40:08.444Z,4c2480b0-d66f-4935-af7f-f07e9e16d148,Bitte Reagieren! / DKBOnline,61b7ed08-e900-4612-b6d2-e1725becae74,,,,,
84,email-view,2024-01-12T13:40:19.684Z,4c2480b0-d66f-4935-af7f-f07e9e16d148,Bitte Reagieren! / DKBOnline,b0c775c6-f3a0-4034-bf91-32e32885b198,,,,,
84,email-moved,2024-01-12T13:41:14.174Z,4c2480b0-d66f-4935-af7f-f07e9e16d148,Bitte Reagieren! / DKBOnline,ee5f1b15-a8e5-4cbc-818c-d10f0ddb3f01,,Phishing/Spam,,,
84,email-scrolled,2024-01-12T13:41:40.223Z,4c2480b0-d66f-4935-af7f-f07e9e16d148,Bitte Reagieren! / DKBOnline,dde3e8c2-4aa6-48fc-8a47-7bdbb8789497,,,1,,
84,email-scrolled,2024-01-12T13:41:47.849Z,4c2480b0-d66f-4935-af7f-f07e9e16d148,Bitte Reagieren! / DKBOnline,c06e4add-de9e-4d57-9c73-f8d5aa04feb5,,,0,,
84,email-view,2024-01-12T13:40:13.654Z,418e8801-16e2-48df-900c-dc808ed45e09,Dank der Karte\, die einen hohen Kreditrahmen besitzt\, haben Sie keine Geldsorgen mehr - freundliche Empfehlung von Manfred / Hermann Kerner,1c5e189a-b634-4bcd-8719-488a9d010140,,,,,
84,email-moved,2024-01-12T13:42:08.312Z,418e8801-16e2-48df-900c-dc808ed45e09,Dank der Karte\, die einen hohen Kreditrahmen besitzt\, haben Sie keine Geldsorgen mehr - freundliche Empfehlung von Manfred / Hermann Kerner,1f52243d-68cc-43c8-b4df-17e54ef51896,,No Phishing,,,
84,email-view,2024-01-12T13:43:03.694Z,418e8801-16e2-48df-900c-dc808ed45e09,Dank der Karte\, die einen hohen Kreditrahmen besitzt\, haben Sie keine Geldsorgen mehr - freundliche Empfehlung von Manfred / Hermann Kerner,9a1e5ce2-6123-4908-8aeb-87fd1bdbedab,,,,,
84,email-view,2024-01-12T13:42:09.737Z,9543bd95-a95f-478e-9951-c0f2b42c4032,Dating für Sex zu Weihnachten in Deutschland / Dating in Deutschland,7cc47921-7f9d-43a1-bd90-8217f3d1bfe1,,,,,
84,email-link-hover,2024-01-12T13:42:11.576Z,9543bd95-a95f-478e-9951-c0f2b42c4032,Dating für Sex zu Weihnachten in Deutschland / Dating in Deutschland,bba05d5f-a152-4631-a6d0-fb08eac84c51,,,,https://www.wimwim.website/de/,
84,email-moved,2024-01-12T13:42:16.291Z,9543bd95-a95f-478e-9951-c0f2b42c4032,Dating für Sex zu Weihnachten in Deutschland / Dating in Deutschland,9347900b-8ddb-4ff8-a53c-a987c218b440,,Phishing/Spam,,,
84,email-view,2024-01-12T13:42:18.311Z,f9f26bad-1a01-4ccb-8585-76ece6fa627f,Dein Video wurde erneut gepostet / Instagram,f187804a-2c58-4231-84db-7441c68f7403,,,,,
84,email-moved,2024-01-12T13:42:30.402Z,f9f26bad-1a01-4ccb-8585-76ece6fa627f,Dein Video wurde erneut gepostet / Instagram,01821090-c5e5-4781-9963-5e9521591396,,No Phishing,,,
